,entity_type,name,aliases
17,Person,Mike Johnson,"['Speaker Johnson', 'House Speaker', 'Mr. Johnson', 'Johnson', 'Louisiana Representative', 'The Republican Speaker', 'Leader of the House', 'Speaker of the House', 'Congressional Leader', 'U.S. House Chief']"
18,Person,Antony Blinken,"['Secretary Blinken', 'America’s Top Diplomat', 'Mr. Blinken', 'Blinken', 'Secretary of State', 'U.S. Foreign Policy Chief', 'The Diplomat', 'State Department Head', 'Foreign Affairs Secretary', 'The Secretary']"
19,Person,Janet Yellen,"['Secretary Yellen', 'Treasury Secretary', 'Ms. Yellen', 'Yellen', 'America’s Financial Chief', 'The Treasury Chief', 'Former Fed Chair', 'U.S. Economic Leader', 'The Finance Secretary', 'Economic Policy Head']"
20,Company,Apple Inc.,"['Apple', 'The Tech Giant', 'iPhone Maker', 'Cupertino-based Company', 'The California Tech Firm', 'AAPL', 'Tim Cook’s Company', 'Silicon Valley Giant', 'The Mac Maker', 'Apple Company']"
21,Company,Microsoft Corporation,"['Microsoft', 'The Software Giant', 'Redmond-based Company', 'MSFT', 'Windows Maker', 'Satya Nadella’s Company', 'The Tech Titan', 'Seattle Tech Firm', 'The Cloud Leader', 'Microsoft Group']"
22,Company,"Amazon.com, Inc.","['Amazon', 'The E-commerce Giant', 'Seattle-based Company', 'AMZN', 'Jeff Bezos’ Company', 'The Online Retailer', 'AWS Parent Company', 'The Retail Titan', 'America’s Online Marketplace', 'The Everything Store']"
23,Company,Alphabet Inc.,"['Alphabet', 'Google', 'The Search Giant', 'Mountain View-based Company', 'GOOGL', 'Google’s Parent Company', 'The Tech Conglomerate', 'Sundar Pichai’s Company', 'Silicon Valley Titan', 'The Internet Leader']"
24,Company,Exxon Mobil Corporation,"['ExxonMobil', 'Exxon', 'The Oil Giant', 'Houston-based Company', 'XOM', 'The Energy Titan', 'America’s Oil Leader', 'The Fossil Fuel Company', 'Texas Oil Firm', 'The Petroleum Leader']"
25,Location,Washington D.C.,"['Washington', 'D.C.', 'The District', 'U.S. Capital', 'Nation’s Capital', 'The Capital City', 'The Beltway', 'The Federal City', 'District of Columbia', 'The Political Hub']"
26,Location,New York City,"['New York', 'NYC', 'The Big Apple', 'Gotham', 'The City That Never Sleeps', 'The Empire City', 'The Five Boroughs', 'The Metropolis', 'America’s Financial Hub', 'The Concrete Jungle']"
27,Location,California,"['The Golden State', 'CA', 'West Coast State', 'America’s Most Populous State', 'The Bear Republic', 'Silicon Valley’s Home', 'The Pacific State', 'The Tech Hub State', 'Western Powerhouse', 'The Sunshine State']"
28,Location,Texas,"['The Lone Star State', 'TX', 'America’s Second Largest State', 'The Energy State', 'Southern Powerhouse', 'The Cowboy State', 'The Gulf Coast State', 'The Longhorn State', 'The Southwest Giant', 'The Oil State']"
29,Location,Puerto Rico,"['PR', 'The Island of Enchantment', 'U.S. Territory', 'Borinquen', 'The Caribbean Territory', 'San Juan’s Home', 'The Commonwealth', 'America’s Island Territory', 'The Tropical U.S.', 'The Salsa Island']"
30,Person,Olaf Scholz,"['Chancellor Scholz', 'The Chancellor', 'German Chancellor', 'Mr. Scholz', 'Scholz', 'Head of the German Government', 'Bundeskanzler', 'Germany’s Leader', 'The Social Democrat Leader', 'Berlin’s Chancellor']"
31,Person,Frank-Walter Steinmeier,"['President Steinmeier', 'Federal President', 'German President', 'Mr. Steinmeier', 'Steinmeier', 'Bundespräsident', 'Germany’s Head of State', 'The German President', 'Berlin’s President', 'The Ceremonial Leader']"
32,Person,Annalena Baerbock,"['Foreign Minister Baerbock', 'Minister Baerbock', 'Germany’s Top Diplomat', 'The Green Party Minister', 'Ms. Baerbock', 'Baerbock', 'Außenministerin', 'Germany’s Foreign Policy Chief', 'The Green Diplomat', 'Berlin’s Foreign Minister']"
33,Person,Robert Habeck,"['Vice Chancellor Habeck', 'Minister Habeck', 'Mr. Habeck', 'Habeck', 'The Green Vice Chancellor', 'Germany’s Economic Chief', 'The Climate Minister', 'The Green Leader', 'Berlin’s Vice Chancellor', 'Economy Minister']"
34,Person,Christian Lindner,"['Finance Minister Lindner', 'Minister Lindner', 'Mr. Lindner', 'Lindner', 'Germany’s Financial Chief', 'The FDP Leader', 'The Finance Minister', 'Berlin’s Budget Chief', 'The Liberal Minister', 'Germany’s Fiscal Leader']"
35,Company,Volkswagen AG,"['Volkswagen', 'VW', 'German Automaker', 'The Wolfsburg-based Company', 'The German Car Giant', 'VAG', 'The People’s Car Company', 'The VW Group', 'Germany’s Auto Leader', 'The Beetle Maker']"
36,Company,Siemens AG,"['Siemens', 'German Industrial Giant', 'The Munich-based Conglomerate', 'The Engineering Company', 'The German Multinational', 'Siemens Group', 'The Technology Giant', 'The Industrial Leader', 'Munich’s Tech Firm', 'The Automation Leader']"
37,Company,BMW Group,"['BMW', 'Bavarian Motor Works', 'The Munich Automaker', 'The German Luxury Carmaker', 'Bayerische Motoren Werke', 'The Automotive Giant', 'The Luxury Car Leader', 'The BMW Company', 'Germany’s Car Titan', 'The Ultimate Driving Machine']"
38,Company,Deutsche Bank AG,"['Deutsche Bank', 'The German Bank', 'Frankfurt-based Bank', 'The Financial Giant', 'Germany’s Banking Leader', 'DB', 'The Investment Bank', 'The Deutsche Group', 'Germany’s Financial Titan', 'The Global Bank']"
39,Company,Bayer AG,"['Bayer', 'The German Pharma Giant', 'Leverkusen-based Company', 'The Chemical Company', 'Germany’s Health Leader', 'The Aspirin Maker', 'The Biotech Firm', 'The Bayer Group', 'Germany’s Science Leader', 'The Life Sciences Company']"
40,Location,Berlin,"['German Capital', 'Capital of Germany', 'The Federal Capital', 'Spree Athens', 'The City of Freedom', 'The German Metropolis', 'Hauptstadt', 'Germany’s Political Hub', 'The Reunified City', 'The Cultural Capital']"
41,Location,Bavaria,"['Bayern', 'Free State of Bavaria', 'Freistaat Bayern', 'Germany’s Largest State', 'Southern German State', 'The Alpine State', 'CSU Stronghold', 'The Bavarian Heartland', 'Germany’s Beer Country', 'The Munich Region']"
42,Location,North Rhine-Westphalia,"['NRW', 'Nordrhein-Westfalen', 'Germany’s Most Populous State', 'Rhine-Ruhr State', 'Western German State', 'Germany’s Industrial Heartland', 'The Ruhr Region', 'The Economic Powerhouse', 'The West German Hub', 'The Coal and Steel State']"
43,Location,Hamburg,"['The Free and Hanseatic City', 'Hamburg City', 'Germany’s Port City', 'The Gateway to the World', 'The Elbe City', 'Northern German Hub', 'The Maritime Capital', 'The Trading City', 'Germany’s Second City', 'The Hanseatic Hub']"
44,Location,Saxony,"['Sachsen', 'Free State of Saxony', 'Eastern German State', 'The Dresden Region', 'The Cultural State', 'Germany’s Eastern Jewel', 'The Leipzig Hub', 'The Industrial East', 'The Saxon Heartland', 'The Border State']"
45,Location,China,"['China', 'The Dragon Country', 'The Middle Kingdom', 'Asia’s Giant', 'The World’s Second Economy', 'The Global Manufacturing Hub', 'The Asian Giant', 'The World’s Factory', 'The Economic Powerhouse', 'The World’s Second-largest Economy']"
